TradeDate,Ticker,Open,High,Low,Close,MarketHoursVolume,CumulativePriceFactor,CumulativeVolumeFactor,AdjustmentFactor,AdjustmentReason,SecId
2020-11-30 00:00:00,MSFT,214.11,214.76,210.84,214.07,29610016,1.356449067944688,1.0,,,39827
2020-12-01 00:00:00,MSFT,214.6,217.32,213.35,216.21,28042905,1.356449067944688,1.0,,,39827
2020-12-02 00:00:00,MSFT,215.0,215.47,212.8,215.37,21625747,1.356449067944688,1.0,,,39827
2020-12-03 00:00:00,MSFT,214.6,216.37,213.65,214.24,22744723,1.356449067944688,1.0,,,39827
2020-12-04 00:00:00,MSFT,214.2,215.38,213.18,214.36,22800316,1.356449067944688,1.0,,,39827
2020-12-07 00:00:00,MSFT,214.39,215.54,212.99,214.29,21137809,1.356449067944688,1.0,,,39827
2020-12-08 00:00:00,MSFT,214.07,216.95,212.89,216.01,20644342,1.356449067944688,1.0,,,39827
2020-12-09 00:00:00,MSFT,215.2,215.22,211.22,211.8,29850516,1.356449067944688,1.0,,,39827
2020-12-10 00:00:00,MSFT,211.8,213.08,210.36,210.52,25288367,1.356449067944688,1.0,,,39827
2020-12-11 00:00:00,MSFT,210.2,213.32,209.11,213.26,28493368,1.356449067944688,1.0,,,39827
2020-12-14 00:00:00,MSFT,212.91,216.2,212.89,214.2,27423693,1.356449067944688,1.0,,,39827
2020-12-15 00:00:00,MSFT,215.17,215.42,212.24,214.13,24587978,1.356449067944688,1.0,,,39827
2020-12-16 00:00:00,MSFT,214.83,220.57,214.75,219.28,32662930,1.356449067944688,1.0,,,39827
2020-12-17 00:00:00,MSFT,219.86,220.88,217.92,219.42,28999437,1.356449067944688,1.0,,,39827
2020-12-18 00:00:00,MSFT,218.92,219.69,216.02,218.59,57790472,1.356449067944688,1.0,,,39827
2020-12-21 00:00:00,MSFT,217.55,224.0,217.29,222.59,33352798,1.356449067944688,1.0,,,39827
2020-12-22 00:00:00,MSFT,222.57,225.63,221.85,223.94,21696060,1.356449067944688,1.0,,,39827
2020-12-23 00:00:00,MSFT,223.25,223.54,220.8,221.02,17734660,1.356449067944688,1.0,,,39827
2020-12-24 00:00:00,MSFT,221.4,223.61,221.2,222.75,10408261,1.356449067944688,1.0,,,39827
2020-12-28 00:00:00,MSFT,224.44,226.03,223.02,224.96,17485634,1.356449067944688,1.0,,,39827
2020-12-29 00:00:00,MSFT,226.06,227.17,223.59,224.15,16918551,1.356449067944688,1.0,,,39827
2020-12-30 00:00:00,MSFT,225.26,225.63,221.47,221.68,19559889,1.356449067944688,1.0,,,39827
2020-12-31 00:00:00,MSFT,221.82,223.0,219.68,222.42,20214904,1.356449067944688,1.0,,,39827
2021-01-04 00:00:00,MSFT,222.54,223.0,214.83,217.69,33883793,1.356449067944688,1.0,,,39827
2021-01-05 00:00:00,MSFT,217.61,218.52,215.7,217.9,21210368,1.356449067944688,1.0,,,39827
2021-01-06 00:00:00,MSFT,212.45,216.48,211.94,212.25,33965301,1.356449067944688,1.0,,,39827
2021-01-07 00:00:00,MSFT,214.04,219.34,213.71,218.29,25845248,1.356449067944688,1.0,,,39827
2021-01-08 00:00:00,MSFT,218.83,220.58,217.03,219.62,21600995,1.356449067944688,1.0,,,39827
2021-01-11 00:00:00,MSFT,218.46,218.91,216.73,217.49,20529864,1.356449067944688,1.0,,,39827
2021-01-12 00:00:00,MSFT,216.56,217.08,213.33,214.93,22528451,1.356449067944688,1.0,,,39827
2021-01-13 00:00:00,MSFT,214.0,216.76,213.9,216.34,18899782,1.356449067944688,1.0,,,39827
2021-01-14 00:00:00,MSFT,215.91,217.46,212.74,213.02,28157768,1.356449067944688,1.0,,,39827
2021-01-15 00:00:00,MSFT,213.56,214.51,212.05,212.65,29819059,1.356449067944688,1.0,,,39827
2021-01-19 00:00:00,MSFT,213.79,216.98,212.65,216.44,25816903,1.356449067944688,1.0,,,39827
2021-01-20 00:00:00,MSFT,217.98,225.79,217.3,224.34,35896730,1.356449067944688,1.0,,,39827
2021-01-21 00:00:00,MSFT,224.9,226.3,222.42,224.97,27323546,1.356449067944688,1.0,,,39827
2021-01-22 00:00:00,MSFT,227.5,230.07,225.8,225.95,28799012,1.356449067944688,1.0,,,39827
2021-01-25 00:00:00,MSFT,229.04,229.78,224.25,229.53,31528188,1.356449067944688,1.0,,,39827
2021-01-26 00:00:00,MSFT,231.89,234.18,230.08,232.33,40528344,1.356449067944688,1.0,,,39827
2021-01-27 00:00:00,MSFT,237.97,240.44,230.14,232.9,65932935,1.356449067944688,1.0,,,39827
2021-01-28 00:00:00,MSFT,235.84,243.4,235.09,238.93,46545101,1.356449067944688,1.0,,,39827
2021-01-29 00:00:00,MSFT,235.55,238.02,231.36,231.96,39281732,1.356449067944688,1.0,,,39827
2021-02-01 00:00:00,MSFT,235.16,242.5,232.45,239.65,31245815,1.356449067944688,1.0,,,39827
2021-02-02 00:00:00,MSFT,241.06,242.31,238.69,239.51,24778659,1.356449067944688,1.0,,,39827
2021-02-03 00:00:00,MSFT,239.8,245.09,239.28,243.0,26209903,1.356449067944688,1.0,,,39827
2021-02-04 00:00:00,MSFT,242.76,243.21,240.37,242.01,23627534,1.356449067944688,1.0,,,39827
2021-02-05 00:00:00,MSFT,242.36,243.28,240.42,242.2,16592013,1.356449067944688,1.0,,,39827
2021-02-08 00:00:00,MSFT,243.3,243.65,240.81,242.47,17508116,1.356449067944688,1.0,,,39827
2021-02-09 00:00:00,MSFT,242.07,244.76,241.39,243.77,22421682,1.356449067944688,1.0,,,39827
2021-02-10 00:00:00,MSFT,245.0,245.91,240.89,242.82,21140944,1.356449067944688,1.0,,,39827
2021-02-11 00:00:00,MSFT,244.73,245.15,242.15,244.49,15177865,1.356449067944688,1.0,,,39827
2021-02-12 00:00:00,MSFT,244.0,245.3,242.73,244.99,15520117,1.356449067944688,1.0,,,39827
2021-02-16 00:00:00,MSFT,245.02,246.11,242.92,243.7,23645353,1.356449067944688,1.0,,,39827
2021-02-17 00:00:00,MSFT,241.0,244.31,240.94,244.2,21700301,1.3595732411701913,1.0,0.997702092736972,CashDiv,39827
2021-02-18 00:00:00,MSFT,241.86,243.93,240.86,243.79,16301642,1.3595732411701913,1.0,,,39827
2021-02-19 00:00:00,MSFT,243.74,243.82,240.18,240.97,24411598,1.3595732411701913,1.0,,,39827
2021-02-22 00:00:00,MSFT,236.99,237.93,232.4,234.51,34203590,1.3595732411701913,1.0,,,39827
2021-02-23 00:00:00,MSFT,230.09,234.83,228.73,233.27,29058032,1.3595732411701913,1.0,,,39827
2021-02-24 00:00:00,MSFT,230.01,235.2,229.0,234.55,24775039,1.3595732411701913,1.0,,,39827
2021-02-25 00:00:00,MSFT,232.08,234.57,227.88,228.99,37805088,1.3595732411701913,1.0,,,39827
2021-02-26 00:00:00,MSFT,231.6,235.37,229.54,232.38,35450214,1.3595732411701913,1.0,,,39827
2021-03-01 00:00:00,MSFT,235.97,237.47,233.15,236.94,24138162,1.3595732411701913,1.0,,,39827
2021-03-02 00:00:00,MSFT,237.0,237.29,233.45,233.87,21700821,1.3595732411701913,1.0,,,39827
2021-03-03 00:00:00,MSFT,232.01,233.57,227.29,227.56,32293917,1.3595732411701913,1.0,,,39827
2021-03-04 00:00:00,MSFT,226.79,232.49,224.27,226.73,43091210,1.3595732411701913,1.0,,,39827
2021-03-05 00:00:00,MSFT,229.5,233.27,226.47,231.6,40237826,1.3595732411701913,1.0,,,39827
2021-03-08 00:00:00,MSFT,231.48,233.37,227.13,227.39,33858805,1.3595732411701913,1.0,,,39827
2021-03-09 00:00:00,MSFT,232.86,236.4,231.79,233.78,30856904,1.3595732411701913,1.0,,,39827
2021-03-10 00:00:00,MSFT,236.8,237.0,232.04,232.42,28781832,1.3595732411701913,1.0,,,39827
2021-03-11 00:00:00,MSFT,234.79,239.17,234.31,237.13,27744795,1.3595732411701913,1.0,,,39827
2021-03-12 00:00:00,MSFT,234.0,235.82,233.23,235.75,21333841,1.3595732411701913,1.0,,,39827
2021-03-15 00:00:00,MSFT,234.9,235.12,231.81,234.81,24873487,1.3595732411701913,1.0,,,39827
2021-03-16 00:00:00,MSFT,236.38,240.06,235.96,237.71,26547180,1.3595732411701913,1.0,,,39827
2021-03-17 00:00:00,MSFT,236.2,238.55,233.23,237.04,28841452,1.3595732411701913,1.0,,,39827
2021-03-18 00:00:00,MSFT,232.41,234.17,230.33,230.72,33702194,1.3595732411701913,1.0,,,39827
2021-03-19 00:00:00,MSFT,231.55,232.46,229.35,230.35,41533393,1.3595732411701913,1.0,,,39827
2021-03-22 00:00:00,MSFT,230.5,236.9,230.18,235.99,26208352,1.3595732411701913,1.0,,,39827
2021-03-23 00:00:00,MSFT,237.48,241.05,237.07,237.58,30746061,1.3595732411701913,1.0,,,39827
2021-03-24 00:00:00,MSFT,237.81,237.99,235.32,235.46,24503464,1.3595732411701913,1.0,,,39827
2021-03-25 00:00:00,MSFT,235.01,236.94,231.57,232.34,32968680,1.3595732411701913,1.0,,,39827
2021-03-26 00:00:00,MSFT,231.71,236.71,231.55,236.48,23658125,1.3595732411701913,1.0,,,39827
2021-03-29 00:00:00,MSFT,236.72,236.94,231.88,235.24,22539442,1.3595732411701913,1.0,,,39827
2021-03-30 00:00:00,MSFT,233.65,233.81,231.1,231.85,23090523,1.3595732411701913,1.0,,,39827
2021-03-31 00:00:00,MSFT,232.8,239.1,232.4,235.77,39623986,1.3595732411701913,1.0,,,39827
2021-04-01 00:00:00,MSFT,238.6,242.64,238.06,242.35,28666394,1.3595732411701913,1.0,,,39827
2021-04-05 00:00:00,MSFT,242.85,249.96,242.7,249.07,35693756,1.3595732411701913,1.0,,,39827
2021-04-06 00:00:00,MSFT,247.74,249.4,246.88,247.86,20974830,1.3595732411701913,1.0,,,39827
2021-04-07 00:00:00,MSFT,247.88,250.92,247.19,249.9,21869961,1.3595732411701913,1.0,,,39827
2021-04-08 00:00:00,MSFT,252.7,254.14,252.0,253.25,22705442,1.3595732411701913,1.0,,,39827
2021-04-09 00:00:00,MSFT,253.0,255.99,252.44,255.85,22918368,1.3595732411701913,1.0,,,39827
2021-04-12 00:00:00,MSFT,254.81,257.67,254.62,255.91,25273459,1.3595732411701913,1.0,,,39827
2021-04-13 00:00:00,MSFT,257.08,259.19,256.83,258.49,22009408,1.3595732411701913,1.0,,,39827
2021-04-14 00:00:00,MSFT,257.4,258.83,255.16,255.59,21951261,1.3595732411701913,1.0,,,39827
2021-04-15 00:00:00,MSFT,257.95,259.93,257.73,259.5,23873852,1.3595732411701913,1.0,,,39827
2021-04-16 00:00:00,MSFT,260.0,261.0,257.62,260.74,22634309,1.3595732411701913,1.0,,,39827
2021-04-19 00:00:00,MSFT,260.19,261.47,257.82,258.74,21640166,1.3595732411701913,1.0,,,39827
2021-04-20 00:00:00,MSFT,258.02,260.2,256.85,258.26,18425009,1.3595732411701913,1.0,,,39827
2021-04-21 00:00:00,MSFT,258.8,260.68,257.25,260.58,21589122,1.3595732411701913,1.0,,,39827
2021-04-22 00:00:00,MSFT,260.03,261.78,255.64,257.17,24134329,1.3595732411701913,1.0,,,39827
2021-04-23 00:00:00,MSFT,257.79,261.51,257.27,261.15,20109097,1.3595732411701913,1.0,,,39827
2021-04-26 00:00:00,MSFT,261.67,262.44,260.17,261.55,18831422,1.3595732411701913,1.0,,,39827
2021-04-27 00:00:00,MSFT,261.58,263.19,260.12,261.97,24614838,1.3595732411701913,1.0,,,39827
2021-04-28 00:00:00,MSFT,256.1,256.51,252.95,254.56,44419865,1.3595732411701913,1.0,,,39827
2021-04-29 00:00:00,MSFT,255.58,256.1,249.0,252.51,39380022,1.3595732411701913,1.0,,,39827
2021-04-30 00:00:00,MSFT,249.6,253.08,249.6,252.18,28814341,1.3595732411701913,1.0,,,39827
2021-05-03 00:00:00,MSFT,253.34,254.35,251.12,251.86,18728980,1.3595732411701913,1.0,,,39827
2021-05-04 00:00:00,MSFT,250.68,251.21,245.77,247.79,30406775,1.3595732411701913,1.0,,,39827
2021-05-05 00:00:00,MSFT,249.15,249.5,245.82,246.47,19692502,1.3595732411701913,1.0,,,39827
2021-05-06 00:00:00,MSFT,246.47,249.86,244.69,249.73,25667793,1.3595732411701913,1.0,,,39827
2021-05-07 00:00:00,MSFT,252.12,254.3,251.17,252.46,21937285,1.3595732411701913,1.0,,,39827
2021-05-10 00:00:00,MSFT,250.95,251.73,247.12,247.18,23831436,1.3595732411701913,1.0,,,39827
2021-05-11 00:00:00,MSFT,244.31,246.6,242.58,246.23,32010252,1.3595732411701913,1.0,,,39827
2021-05-12 00:00:00,MSFT,242.15,244.38,238.07,239.0,34635178,1.3595732411701913,1.0,,,39827
2021-05-13 00:00:00,MSFT,241.82,245.6,241.42,243.03,28255728,1.3595732411701913,1.0,,,39827
2021-05-14 00:00:00,MSFT,245.7,249.18,245.49,248.15,22998611,1.3595732411701913,1.0,,,39827
2021-05-17 00:00:00,MSFT,246.43,246.6,243.52,245.18,21560105,1.3595732411701913,1.0,,,39827
2021-05-18 00:00:00,MSFT,246.1,246.41,242.9,243.08,17973253,1.3595732411701913,1.0,,,39827
